Дата запуска ПЛАН;Дата запуска ФАКТ;Заказчик/Сортамент;Изделие;№ заказа;Партия;Остаточная потребность;Обеспеченность;Проблема;Дата закрытия дефицита;Примечание МТО;Примечание ПО
2020-02-28;;Омский ЭМЗ;Упаковка на март 2020 года;33.0;1.0;;0.20613362312215677;;;;
;;Лист 4 ГОСТ 19903-74 ст3 ГОСТ 380-2005;;;;3464.288;;;;;
;;Труба профильная 180х140х6 ГОСТ 30245-94 ст3 ГОСТ 380-2005;;;;116.48900000000003;;;;;
;;Шпилька по чертежу 16х1000.ст3.ГЦ Ст-2019-06;;;;750.5;;;;;
2020-03-05;;Омский ЭМЗ;Корзина для ввода цинка нового типа (2шт);36.0;1.0;;0.0;;;;
;;Круг 18 ГОСТ 2590-2006 Ст5сп ГОСТ 5781-82;;;;14.892999999999999;;;;;
;;Лист 15 ГОСТ 19903-74 Ст5сп ГОСТ 5781-82;;;;848.063;;;;;
;;Уголок 100х100х10 ГОСТ 8509-86 Ст5сп ГОСТ 5781-82;;;;250.791;;;;;
2020-03-05;;Омский ЭМЗ;Корзина для ввода цинка нового типа (1шт);39.0;1.0;;0.9974024621390675;;;;
;;Круг 18 ГОСТ 2590-2006 09Г2С ГОСТ 17380-2001;;;;2.8930000000000002;;;;;
2020-03-06;;Омский ЭМЗ;"ФП.325.1.01-1шт; ФС.325.1.01-1шт. (Продукция по заказу № 0209, грузовое место №20) (1 шт.)";41.0;1.0;;0.5935493861013078;;;;
;;Труба 219х10 ГОСТ 8732-78 09Г2С-12 ГОСТ 19281-2014;;;;62.997;;;;;
2020-03-12;;ГПН-РАЗВИТИЕ ООО;Сооружение   антенно-мачтовое МСТ-13,0-С.IV Технические требования 1000/9-004-СС.ТТ;217.0;1.0;;0.09141812870478572;;;;
;;Лист 10 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;43.542;;;;;
;;Лист 3 ГОСТ 19903-74 ст3 ГОСТ 380-2005;;;;1.976;;;;;
;;Уголок 40х40х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;17.624000000000002;;;;;
;;Круг 36 ГОСТ 2590-2006 09Г2С-12 ГОСТ 19281-2014;;;;30.718000000000004;;;;;
;;Труба 203х9 ГОСТ 8732-78 09Г2С-12 ГОСТ 19821-2014;;;;279.29200000000003;;;;;
;;Труба 245х9 ГОСТ 8732-78 09Г2С-12 ГОСТ 19281-2014;;;;547.054;;;;;
