Дата запуска;Заказ-Партия;Заказчик;Спецификация;Номенклатура;Дефицит;Остаток дефицита;Списание из Цент склада;Списание из ТН;Списание из Поступлений;ТН
2020-01-01;90254-1;0;0;Гайка М16-6h.5.Гл ГОСТ 5915-70;147.18640577;147.18640577;0.0;0.0;0.0;0.0
2020-01-01;90254-1;0;0;Шпилька по чертежу 16х1000.ст3.ГЦ Ст-2019-06;750.5;750.5;0.0;0.0;0.0;0.0
2020-01-23;0009-1;0;0;Гайка М24-6h.5.Гл ГОСТ 5915-70;0.25334706;0.0;0.25334706;0.0;0.0;0.0
2020-01-23;0008-1;0;0;Подшипник 80212 ГОСТ 7242-81;25.184;25.184;0.0;0.0;0.0;0.0
2020-02-05;0019-1;0;0;Заклепка 4х14 DIN 7337;1.734;1.734;0.0;0.0;0.0;0.0
2020-02-05;0019-1;0;0;Заклепочник для вытяжных заклепок диаметром 4 мм.;1.0;0.0;1.0;0.0;0.0;0.0
2020-02-12;02177-1;ЭНЕРГОПРОЕКТ-ИНЖИНИРИНГ ООО;Договор № 04/01-2020 от 31.01.2020 г., Спецификация №1 от 31.01.2020;Шайба 16 ГЦ ГОСТ 11371-78;35.18434604;0.0;35.18434604;0.0;0.0;0.0
2020-02-12;02177-1;ЭНЕРГОПРОЕКТ-ИНЖИНИРИНГ ООО;Договор № 04/01-2020 от 31.01.2020 г., Спецификация №1 от 31.01.2020;Шайба 20 ГЦ ГОСТ 11371-78;27.99176107;0.0;27.99176107;0.0;0.0;0.0
2020-02-12;02177-1;ЭНЕРГОПРОЕКТ-ИНЖИНИРИНГ ООО;Договор № 04/01-2020 от 31.01.2020 г., Спецификация №1 от 31.01.2020;Шайба 24 ГЦ ГОСТ 11371-78;110.2430484;0.0;110.2430484;0.0;0.0;0.0
2020-02-12;02177-1;ЭНЕРГОПРОЕКТ-ИНЖИНИРИНГ ООО;Договор № 04/01-2020 от 31.01.2020 г., Спецификация №1 от 31.01.2020;Шайба 36 ГЦ ГОСТ 11371-78;54.59320288;27.86420288;26.729;0.0;0.0;0.0
2020-02-12;02177-1;ЭНЕРГОПРОЕКТ-ИНЖИНИРИНГ ООО;Договор № 04/01-2020 от 31.01.2020 г., Спецификация №1 от 31.01.2020;Болт М16-6gх55.8.8.ГЦ ГОСТ Р ИСО 4014-2013;187.45714286;0.0;187.45714286;0.0;0.0;0.0
