Дата запуска;Заказ-Партия;Заказчик;Спецификация;Номенклатура;Дефицит
2020-05-04;02655-4;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №49 от 27.03.2020;Гайка М20-6h.8.ТД4 ГОСТ ISO 4032-2014;63.62100927
2020-05-04;02655-4;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №49 от 27.03.2020;Болт М20-6gх240.8.8.ТД4 ГОСТ Р ИСО 4014-2013;195.90525232
2020-05-04;921386-3;ГАС ООО;Договор поставки №331-ГАС-17 от 13.06.2017, Спецификация №6 от 21.11.2019;Болт М14-6gх45.8.8.Гл ГОСТ 7798-70;18.77142857
2020-05-04;921386-3;ГАС ООО;Договор поставки №331-ГАС-17 от 13.06.2017, Спецификация №6 от 21.11.2019;Гайка М30-6h.8.Гл ГОСТ ISO 4032-2014;55.95674562
2020-05-04;921386-3;ГАС ООО;Договор поставки №331-ГАС-17 от 13.06.2017, Спецификация №6 от 21.11.2019;Гайка М20-6h.8.Гл ГОСТ ISO 4032-2014;345.0545829
2020-05-04;921672-1;ГАС ООО;331-ГАС-17 от 13.06.2017, Спецификация №7 от 21.11.2019;Гайка М42-6h.8.Гл ГОСТ ISO 4032-2014;559.048
2020-05-04;921672-1;ГАС ООО;331-ГАС-17 от 13.06.2017, Спецификация №7 от 21.11.2019;Шпилька по чертежу М42х600.40Х.Гл ОЭМЗ.БМ.076.00.00.001;1462.72
2020-05-05;922057-1;СН-МНГ ОАО;ДП_27605_30915_39358 от 23.12.2019, Спецификация №1 (1965) от 23.12.2019;Болт М14-6gх45.8.8.Гл ГОСТ Р ИСО 4014-2013;3.47142857
2020-05-05;922054-1;СН-МНГ ОАО;ДП_27605_30915_39358 от 23.12.2019, Спецификация №1 (1965) от 23.12.2019;Гайка М42-6h.8.Гл ГОСТ 5915-70;39.936
2020-05-05;922051-1;СН-МНГ ОАО;ДП_27605_30915_39358 от 23.12.2019, Спецификация №1 (1965) от 23.12.2019;Гайка М20-6h.8.Гл ГОСТ 5915-70;1.25025747
2020-05-05;922057-1;СН-МНГ ОАО;ДП_27605_30915_39358 от 23.12.2019, Спецификация №1 (1965) от 23.12.2019;Гайка М20-6h.8.Гл ГОСТ ISO 4032-2014;3.67868177
2020-05-06;02657-1;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №49 от 27.03.2020;Штырь Ш-20-2-55 ГОСТ 18381-80;24.0
2020-05-06;921386-4;ГАС ООО;Договор поставки №331-ГАС-17 от 13.06.2017, Спецификация №6 от 21.11.2019;Болт М14-6gх45.8.8.Гл ГОСТ 7798-70;18.77142857
