Дата запуска;Заказ-Партия;Заказчик;Спецификация;Номенклатура;Дефицит
2020-05-27;02513-1;ЖДСК Эталон-Н;105/12-19 от 27.12.2019, Спецификация №2 от 25.03.2020;Изолятор ЛК70/10-4СП;390.0
2020-05-27;02513-1;ЖДСК Эталон-Н;105/12-19 от 27.12.2019, Спецификация №2 от 25.03.2020;Болт М20-6gх240.8.8.Гл ГОСТ 7798-70;353.71781668
2020-05-27;02513-1;ЖДСК Эталон-Н;105/12-19 от 27.12.2019, Спецификация №2 от 25.03.2020;Гайка М20-6h.8.Гл ГОСТ 5915-70;114.87126674
2020-05-30;02529-1;ЖДСК Эталон-Н;105/12-19 от 27.12.2019, Спецификация №2 от 25.03.2020;Изолятор ШП 10-4 УХЛ1;4.0
2020-05-30;02531-1;ЖДСК Эталон-Н;105/12-19 от 27.12.2019, Спецификация №2 от 25.03.2020;Разрядник РМК-С-20-IV-УХЛ1/021;4.0
2020-05-30;02531-1;ЖДСК Эталон-Н;105/12-19 от 27.12.2019, Спецификация №2 от 25.03.2020;Изолятор ЛК70/10-4СП;12.0
2020-05-30;02531-1;ЖДСК Эталон-Н;105/12-19 от 27.12.2019, Спецификация №2 от 25.03.2020;Болт М20-6gх240.8.8.Гл ГОСТ 7798-70;10.88362513
2020-05-30;02503-1;ЖДСК Эталон-Н;105/12-19 от 27.12.2019, Спецификация №2 от 25.03.2020;Разрядник РМК-С-20-IV-УХЛ1/021;4.0
2020-05-30;02505-1;ЖДСК Эталон-Н;105/12-19 от 27.12.2019, Спецификация №2 от 25.03.2020;Птицезащитное устройство ПЗУ-GP;6.0
2020-05-30;02505-1;ЖДСК Эталон-Н;105/12-19 от 27.12.2019, Спецификация №2 от 25.03.2020;Штырь Ш-20-2-55 ГОСТ 18381-80;1.0
2020-05-30;02531-1;ЖДСК Эталон-Н;105/12-19 от 27.12.2019, Спецификация №2 от 25.03.2020;Гайка М20-6h.8.Гл ГОСТ 5915-70;3.53450051
2020-05-30;02505-1;ЖДСК Эталон-Н;105/12-19 от 27.12.2019, Спецификация №2 от 25.03.2020;Птицезащитное устройство ПЗУ-6-10 кВ-line;1.0
2020-05-30;02505-1;ЖДСК Эталон-Н;105/12-19 от 27.12.2019, Спецификация №2 от 25.03.2020;Изолятор ЛК70/10-4СП;6.0
2020-05-30;02503-1;ЖДСК Эталон-Н;105/12-19 от 27.12.2019, Спецификация №2 от 25.03.2020;Изолятор ЛК70/10-4СП;12.0
2020-05-30;02503-1;ЖДСК Эталон-Н;105/12-19 от 27.12.2019, Спецификация №2 от 25.03.2020;Болт М20-6gх240.8.8.Гл ГОСТ 7798-70;10.88362513
2020-05-30;02503-1;ЖДСК Эталон-Н;105/12-19 от 27.12.2019, Спецификация №2 от 25.03.2020;Гайка М20-6h.8.Гл ГОСТ 5915-70;3.53450051
2020-05-30;02505-1;ЖДСК Эталон-Н;105/12-19 от 27.12.2019, Спецификация №2 от 25.03.2020;Изолятор ШП 10-4 УХЛ1;1.0
2020-05-30;02505-1;ЖДСК Эталон-Н;105/12-19 от 27.12.2019, Спецификация №2 от 25.03.2020;Гайка М30-6h.8.Гл ГОСТ 5915-70;7.9938208
2020-05-30;02505-1;ЖДСК Эталон-Н;105/12-19 от 27.12.2019, Спецификация №2 от 25.03.2020;Гайка М20-6h.8.Гл ГОСТ 5915-70;0.29454171
2020-05-30;02505-1;ЖДСК Эталон-Н;105/12-19 от 27.12.2019, Спецификация №2 от 25.03.2020;Болт М30-6gх110.8.8.Гл ГОСТ 7798-70;14.07415036
