Заказ-Партия	ТН
92290-1	1
92291-1	1
92257-1	1
92258-1	1
92259-1	1
92260-1	1
92261-1	1
92262-1	1
92263-1	1
92264-1	1
92265-1	1
92266-1	1
92267-1	1
92268-1	1
92269-1	1
92269-2	1
92269-3	1
92269-4	1
92269-5	1
92269-6	1
92269-7	1
92269-8	1
92269-9	1
92270-1	1
92270-2	1
92270-3	1
92270-4	1
92270-5	1
92271-1	1
92272-1	1
92273-1	1
92274-1	1
92275-1	1
92276-1	1
92277-1	1
92278-1	1
92279-1	1
92280-1	1
92281-1	1
92282-1	1
92283-1	1
92284-1	1
92285-1	1
92286-1	1
92287-1	1
92288-1	1
92289-1	1
92589-1	1
92591-1	1
92590-1	1
92590-2	1
92590-3	1
92590-4	1
92590-5	1
92555-1	1
92556-1	1
92557-1	1
92558-1	1
92559-1	1
92560-1	1
92561-1	1
92562-1	1
92563-1	1
92564-1	1
92565-1	1
92565-2	1
92565-3	1
92565-4	1
92565-5	1
92565-6	1
92565-7	1
92566-1	1
92567-1	1
92568-1	1
92569-1	1
92572-1	1
92573-1	1
92574-1	1
92575-1	1
92576-1	1
92577-1	1
92578-1	1
92579-1	1
92580-1	1
92581-1	1
92582-1	1
92583-1	1
92584-1	1
92585-1	1
92586-1	1
92587-1	1
92588-1	1
92534-1	1
92535-1	1
92536-1	1
92537-1	1
92538-1	1
92539-1	1
92540-1	1
92541-1	1
92542-1	1
92543-1	1
92544-1	1
92545-1	1
92546-1	1
92547-1	1
92548-1	1
92549-1	1
92550-1	1
92551-1	1
92552-1	1
92553-1	1
92554-1	1
92570-1	1
92571-1	1
92257-1	1
92269-5	1
92175-1	1
92176-1	1
92259-1	1
92271-1	1
92272-1	1
92269-6	1
92173-1	1
92260-1	1
92261-1	1
92262-1	1
92174-1	1
92263-1	1
92264-1	1
92265-1	1
92269-7	1
92276-1	1
92277-1	1
92278-1	1
92269-8	1
92273-1	1
92280-1	1
92275-1	1
92269-9	1
92270-1	1
92270-2	1
92279-1	1
92281-1	1
92590-1	1
92270-3	1
92590-2	1
92274-1	1
92270-4	1
92290-1	1
92291-1	1
92590-3	1
92174-1	1
92269-7	1
92276-1	1
92277-1	1
92278-1	1
92870-1	1
92269-8	1
92273-1	1
92280-1	1
92275-1	1
92269-9	1
92270-1	1
92270-2	1
92279-1	1
92281-1	1
92590-1	1
92270-3	1
92590-2	1
92274-1	1
92290-1	1
92291-1	1
92270-4	1
92590-3	1
92270-5	1
92590-4	1
92282-1	1
92285-1	1
92286-1	1
92283-1	1
92284-1	1
92590-5	1
92590-1	1
92270-3	1
92590-2	1
92290-1	1
92291-1	1
92274-1	1
92270-4	1
92590-3	1
92270-5	1
92590-4	1
92282-1	1
92285-1	1
92286-1	1
92283-1	1
92284-1	1
92590-5	1
92287-1	1
92289-1	1
92288-1	1
92270-3	1
92274-1	1
92590-2	1
92290-1	1
92291-1	1
92270-4	1
92590-3	1
92270-5	1
92590-4	1
92282-1	1
92285-1	1
92286-1	1
92283-1	1
92284-1	1
92590-5	1
92287-1	1
92289-1	1
92288-1	1
92288-1	1
92287-1	1
92289-1	1
92257-1	1
92288-1	1
92287-1	1
92269-5	1
92175-1	1
92266-1	1
92267-1	1
92269-2	1
92268-1	1
92269-1	1
92269-3	1
92269-4	1
92269-6	1
92173-1	1
92259-1	1
92272-1	1
92271-1	1
92260-1	1
92261-1	1
92262-1	1
92258-1	1
92176-1	1
92289-1	1
92177-1	1
92263-1	1
92265-1	1
92264-1	1
92269-8	1
92269-7	1
92276-1	1
92277-1	1
92278-1	1
92280-1	1
92273-1	1
92285-1	1
92284-1	1
92174-1	1
92870-1	1
92275-1	1
92269-9	1
92282-1	1
92286-1	1
92283-1	1
92270-5	1
92270-2	1
92270-1	1
92281-1	1
92279-1	1
92540-1	1
92541-1	1
92539-1	1
92590-1	1
92542-1	1
92538-1	1
92588-1	1
92274-1	1
92270-3	1
92537-1	1
92578-1	1
92550-1	1
92290-1	1
92291-1	1
92590-2	1
92270-4	1
92590-3	1
92590-4	1
92590-5	1
92575-1	1
92591-1	1
92589-1	1
92559-1	1
92560-1	1
92579-1	1
92553-1	1
92577-1	1
92561-1	1
92566-1	1
92569-1	1
92563-1	1
92564-1	1
92562-1	1
92565-1	1
92567-1	1
92559-1	1
92560-1	1
92561-1	1
92567-1	1
92566-1	1
92567-2	1
92567-3	1
92567-4	1
92563-1	1
92564-1	1
92562-1	1
92565-1	1
92543-1	1
92567-1	1
92566-1	1
92567-2	1
92567-3	1
92567-4	1
92563-1	1
92564-1	1
92562-1	1
92565-1	1
92543-1	1
92569-1	1
921058-1	1
92555-1	1
92556-1	1
92557-1	1
92568-1	1
92558-1	1
92583-1	1
92584-1	1
921050-1	1
92572-1	1
921050-2	1
92544-1	1
92574-1	1
92573-1	1
92585-1	1
92587-1	1
92269-1	1
92266-1	1
92267-1	1
92268-1	1
92269-2	1
92269-3	1
92269-4	1
92177-1	1
92258-1	1
92257-1	1
92269-5	1
92175-1	1
92269-6	1
92173-1	1
92259-1	1
92272-1	1
92271-1	1
92260-1	1
92261-1	1
92262-1	1
92176-1	1
92265-1	1
92263-1	1
92264-1	1
92870-1	1
92269-8	1
92269-7	1
92276-1	1
92277-1	1
92278-1	1
92280-1	1
92273-1	1
92174-1	1
92275-1	1
92269-9	1
92270-2	1
92270-1	1
92281-1	1
92279-1	1
92590-1	1
92270-3	1
92274-1	1
92290-1	1
92291-1	1
92590-2	1
92270-4	1
92590-3	1
92270-5	1
92590-4	1
92285-1	1
92282-1	1
92286-1	1
92284-1	1
92283-1	1
92590-5	1
92287-1	1
92288-1	1
92289-1	1
92591-1	1
92589-1	1
92559-1	1
92560-1	1
92561-1	1
92567-1	1
92566-1	1
92567-2	1
92567-3	1
92567-4	1
92563-1	1
92564-1	1
92562-1	1
92565-1	1
92543-1	1
92569-1	1
921058-1	1
92583-1	1
92555-1	1
92556-1	1
92557-1	1
92568-1	1
92558-1	1
92584-1	1
921050-1	1
921050-2	1
92572-1	1
92574-1	1
92573-1	1
92585-1	1
92587-1	1
92544-1	1
92534-1	1
92545-1	1
92547-1	1
92551-1	1
92535-1	1
92546-1	1
92536-1	1
92549-1	1
92575-1	1
92577-1	1
92578-1	1
92579-1	1
921050-3	1
921050-4	1
92548-1	1
92554-1	1
92570-1	1
92571-1	1
92539-1	1
921050-5	1
92540-1	1
92542-1	1
92538-1	1
92537-1	1
92541-1	1
92586-1	1
92582-1	1
92576-1	1
92588-1	1
92580-1	1
92581-1	1
92553-1	1
92552-1	1
92550-1	1
921048-1	1
921056-1	1
921070-1	1
921052-1	1
921071-1	1
921051-1	1
921049-1	1
921054-1	1
921042-1	1
921043-1	1
921044-1	1
921055-1	1
921053-1	1
921047-1	1
921057-1	1
921045-1	1
921073-1	1
921046-1	1
921059-1	1
921060-1	1
921061-1	1
921062-1	1
921072-1	1
921066-1	1
921037-1	1
921041-1	1
921038-1	1
921039-1	1
921040-1	1
921069-1	1
921074-1	1
921075-1	1
921065-1	1
921063-1	1
921064-1	1
921067-1	1
921068-1	1
92933-1	1
92933-2	1
92933-3	1
92933-4	1
92933-5	1
92933-6	1
92933-7	1
92933-8	1
921206-1	1
