Поряд_номер;Номер победы;Партия;Дата запуска;Код;Номенклатура;Количество в заказе;Перемещено;Дефицит;Заказ обеспечен;Пометка удаления;Заказчик;Спецификация;Дата начала факт;Приоритет;Дата поступления КМД;Изделие;Заказ-Партия;Закуп подтвержден;Возможный заказ;ТН;Списание из Цент склада;Списание из ТН;Списание из Поступлений;Остаток дефицита
1073;921931;3;2020-03-09;00000011269;Лист 8 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;1088.976;1088.976;0.0;0.0;0.0;ЭнергоСтройИнжиниринг ООО;79/10-19, Спецификация №1 от 17.12.2019;0;1.0;2020-03-04 00:00:00;Опора промежуточная двухцепная 2ПГ35/110-1,110Т Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001;921931-3;1;0;0.0;0.0;0.0;0.0;0.0
1074;921931;3;2020-03-09;00000011280;Лист 20 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;1999.04;1500.0;499.04;0.0;0.0;ЭнергоСтройИнжиниринг ООО;79/10-19, Спецификация №1 от 17.12.2019;0;1.0;2020-03-04 00:00:00;Опора промежуточная двухцепная 2ПГ35/110-1,110Т Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001;921931-3;1;0;0.0;0.0;0.0;499.04;0.0
1075;921931;3;2020-03-09;00000014979;Лист 6 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;359.648;359.648;0.0;0.0;0.0;ЭнергоСтройИнжиниринг ООО;79/10-19, Спецификация №1 от 17.12.2019;0;1.0;2020-03-04 00:00:00;Опора промежуточная двухцепная 2ПГ35/110-1,110Т Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001;921931-3;1;0;0.0;0.0;0.0;0.0;0.0
1076;921931;3;2020-03-09;00000011270;Лист 4 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;298.064;505.697;0.0;0.0;0.0;ЭнергоСтройИнжиниринг ООО;79/10-19, Спецификация №1 от 17.12.2019;0;1.0;2020-03-04 00:00:00;Опора промежуточная двухцепная 2ПГ35/110-1,110Т Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001;921931-3;1;0;0.0;0.0;0.0;0.0;0.0
1077;921931;3;2020-03-09;00000014228;Круг 16 ГОСТ 2590-2006 09Г2С-12 ГОСТ 19281-2014;79.504;79.504;0.0;0.0;0.0;ЭнергоСтройИнжиниринг ООО;79/10-19, Спецификация №1 от 17.12.2019;0;1.0;2020-03-04 00:00:00;Опора промежуточная двухцепная 2ПГ35/110-1,110Т Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001;921931-3;1;0;0.0;0.0;0.0;0.0;0.0
1078;921931;3;2020-03-09;00000011268;Уголок 32х32х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;731.152;731.152;0.0;0.0;0.0;ЭнергоСтройИнжиниринг ООО;79/10-19, Спецификация №1 от 17.12.2019;0;1.0;2020-03-04 00:00:00;Опора промежуточная двухцепная 2ПГ35/110-1,110Т Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001;921931-3;1;0;0.0;0.0;0.0;0.0;0.0
1079;921931;3;2020-03-09;00000011278;Уголок 50х50х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;3027.296;3027.296;0.0;0.0;0.0;ЭнергоСтройИнжиниринг ООО;79/10-19, Спецификация №1 от 17.12.2019;0;1.0;2020-03-04 00:00:00;Опора промежуточная двухцепная 2ПГ35/110-1,110Т Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001;921931-3;1;0;0.0;0.0;0.0;0.0;0.0
1080;921931;3;2020-03-09;00000011286;Уголок 75х75х6 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;1368.416;1368.416;0.0;0.0;0.0;ЭнергоСтройИнжиниринг ООО;79/10-19, Спецификация №1 от 17.12.2019;0;1.0;2020-03-04 00:00:00;Опора промежуточная двухцепная 2ПГ35/110-1,110Т Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001;921931-3;1;0;0.0;0.0;0.0;0.0;0.0
1081;921931;3;2020-03-09;00000012036;Уголок 100х100х8 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;4900.032;4900.032;0.0;0.0;0.0;ЭнергоСтройИнжиниринг ООО;79/10-19, Спецификация №1 от 17.12.2019;0;1.0;2020-03-04 00:00:00;Опора промежуточная двухцепная 2ПГ35/110-1,110Т Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001;921931-3;1;0;0.0;0.0;0.0;0.0;0.0
1082;921931;3;2020-03-09;00000012037;Уголок 125х125х8 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;6321.424;6321.424;0.0;0.0;0.0;ЭнергоСтройИнжиниринг ООО;79/10-19, Спецификация №1 от 17.12.2019;0;1.0;2020-03-04 00:00:00;Опора промежуточная двухцепная 2ПГ35/110-1,110Т Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001;921931-3;1;0;0.0;0.0;0.0;0.0;0.0
1083;921931;3;2020-03-09;00000012146;Уголок 63х63х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;3747.104;3747.104;0.0;0.0;0.0;ЭнергоСтройИнжиниринг ООО;79/10-19, Спецификация №1 от 17.12.2019;0;1.0;2020-03-04 00:00:00;Опора промежуточная двухцепная 2ПГ35/110-1,110Т Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001;921931-3;1;0;0.0;0.0;0.0;0.0;0.0
1084;921931;3;2020-03-09;00000015431;Уголок 45х45х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;5422.592;5422.592;0.0;0.0;0.0;ЭнергоСтройИнжиниринг ООО;79/10-19, Спецификация №1 от 17.12.2019;0;1.0;2020-03-04 00:00:00;Опора промежуточная двухцепная 2ПГ35/110-1,110Т Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001;921931-3;1;0;0.0;0.0;0.0;0.0;0.0
1085;921931;3;2020-03-09;00000013501;Швеллер 12 П ГОСТ 8240-89 09Г2С-12 ГОСТ 19281-2014;72.112;0.0;72.112;0.0;0.0;ЭнергоСтройИнжиниринг ООО;79/10-19, Спецификация №1 от 17.12.2019;0;1.0;2020-03-04 00:00:00;Опора промежуточная двухцепная 2ПГ35/110-1,110Т Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001;921931-3;1;0;0.0;72.112;0.0;0.0;0.0
1086;921931;3;2020-03-09;00-00000512;Уголок 90х90х7 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;8366.656;0.0;8366.656;0.0;0.0;ЭнергоСтройИнжиниринг ООО;79/10-19, Спецификация №1 от 17.12.2019;0;1.0;2020-03-04 00:00:00;Опора промежуточная двухцепная 2ПГ35/110-1,110Т Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001;921931-3;1;0;0.0;6478.08;0.0;1888.576000000001;0.0
1087;921931;3;2020-03-09;00-00002762;Табличка 63х80 12Х18Н10Т;0.32;0.0;0.32;0.0;0.0;ЭнергоСтройИнжиниринг ООО;79/10-19, Спецификация №1 от 17.12.2019;0;1.0;2020-03-04 00:00:00;Опора промежуточная двухцепная 2ПГ35/110-1,110Т Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001;921931-3;1;0;0.0;0.0;0.0;0.0;0.32
1153;922022;1;2020-03-08;00000011269;Лист 8 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;357.984;389.691;0.0;0.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  29 (1018) от 09.12.2019;0;2.0;2020-03-09 00:00:00;"Опора промежуточная П10Г-5М Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001 ; Фундамент ФС.219.1.L.S Проект:";922022-1;1;0;0.0;0.0;0.0;0.0;0.0
1154;922022;1;2020-03-08;00000011726;Лист 12 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;237.978;237.978;0.0;0.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  29 (1018) от 09.12.2019;0;2.0;2020-03-09 00:00:00;"Опора промежуточная П10Г-5М Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001 ; Фундамент ФС.219.1.L.S Проект:";922022-1;1;0;0.0;0.0;0.0;0.0;0.0
1155;922022;1;2020-03-08;00000014979;Лист 6 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;859.338;859.338;0.0;0.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  29 (1018) от 09.12.2019;0;2.0;2020-03-09 00:00:00;"Опора промежуточная П10Г-5М Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001 ; Фундамент ФС.219.1.L.S Проект:";922022-1;1;0;0.0;0.0;0.0;0.0;0.0
1156;922022;1;2020-03-08;00000015205;Лист 10 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;145.53;145.53;0.0;0.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  29 (1018) от 09.12.2019;0;2.0;2020-03-09 00:00:00;"Опора промежуточная П10Г-5М Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001 ; Фундамент ФС.219.1.L.S Проект:";922022-1;1;0;0.0;0.0;0.0;0.0;0.0
1157;922022;1;2020-03-08;00000011270;Лист 4 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;3485.916;3485.916;0.0;0.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  29 (1018) от 09.12.2019;0;2.0;2020-03-09 00:00:00;"Опора промежуточная П10Г-5М Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001 ; Фундамент ФС.219.1.L.S Проект:";922022-1;1;0;0.0;0.0;0.0;0.0;0.0
1158;922022;1;2020-03-08;00000011265;Круг 16 ГОСТ 2590-88 09Г2С-12 ГОСТ 19281-2014;33.534;33.534;0.0;0.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  29 (1018) от 09.12.2019;0;2.0;2020-03-09 00:00:00;"Опора промежуточная П10Г-5М Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001 ; Фундамент ФС.219.1.L.S Проект:";922022-1;1;0;0.0;0.0;0.0;0.0;0.0
1159;922022;1;2020-03-08;00000011276;Труба профильная 80х80х4 ГОСТ 30245-94 09Г2С-12 ГОСТ 19281-2014;1643.922;0.0;1643.922;0.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  29 (1018) от 09.12.2019;0;2.0;2020-03-09 00:00:00;"Опора промежуточная П10Г-5М Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001 ; Фундамент ФС.219.1.L.S Проект:";922022-1;1;0;0.0;663.84;0.0;0.0;980.082
