Поряд_номер;Номер победы;Партия;Дата запуска;Код;Номенклатура;Количество в заказе;Перемещено;Дефицит;Заказ обеспечен;Пометка удаления;Заказчик;Спецификация;Дата начала факт;Приоритет;Дата поступления КМД;Количество штук;Изделие;Документ заказа.Статус;Заказ-Партия;Нельзя_заменять;Закуп подтвержден;Возможный заказ;ТН;Списание из Цент склада;Списание из ТН;Списание из Поступлений;Остаток дефицита
631;921180;1;2019-12-08;00-00000832;Гайка М30-6h.8.Гл ГОСТ ISO 4032-2014;79.9330587;0.0;79.9330587;0.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;0;0.0;0;5.0;Мачта   прожекторная Н=21м Опросный лист 8672-Р8.2-8.1-ЭМ.ОЛ;К производству;921180-1;0;1;0;0.0;79.9330587;0.0;0.0;0.0
619;921180;1;2019-12-08;00000000659;Шайба 20 Гл ГОСТ 11371-78;1.05561277;0.0;1.05561277;0.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;0;0.0;0;5.0;Мачта   прожекторная Н=21м Опросный лист 8672-Р8.2-8.1-ЭМ.ОЛ;К производству;921180-1;0;1;0;0.0;1.05561277;0.0;0.0;0.0
620;921180;1;2019-12-08;00000006907;Шайба 30 Гл ГОСТ 11371-78;17.66735324;0.0;17.66735324;0.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;0;0.0;0;5.0;Мачта   прожекторная Н=21м Опросный лист 8672-Р8.2-8.1-ЭМ.ОЛ;К производству;921180-1;0;1;0;0.0;17.66735324;0.0;0.0;0.0
621;921180;1;2019-12-08;00000000410;Шайба 6 Гл ГОСТ 11371-78;0.05149331;0.0;0.05149331;0.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;0;0.0;0;5.0;Мачта   прожекторная Н=21м Опросный лист 8672-Р8.2-8.1-ЭМ.ОЛ;К производству;921180-1;0;1;0;0.0;0.05149331;0.0;0.0;0.0
622;921180;1;2019-12-08;00000001022;Шайба 8 Гл ГОСТ 11371-78;0.09268795;0.0;0.09268795;0.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;0;0.0;0;5.0;Мачта   прожекторная Н=21м Опросный лист 8672-Р8.2-8.1-ЭМ.ОЛ;К производству;921180-1;0;1;0;0.0;0.09268795;0.0;0.0;0.0
623;921180;1;2019-12-08;00-00000824;Болт М10-6gх40.8.8.Гл ГОСТ Р ИСО 4014-2013;1.57653061;0.0;1.57653061;0.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;0;0.0;0;5.0;Мачта   прожекторная Н=21м Опросный лист 8672-Р8.2-8.1-ЭМ.ОЛ;К производству;921180-1;0;1;0;0.0;1.57653061;0.0;0.0;0.0
624;921180;1;2019-12-08;00-00000825;Болт М20-6gх65.8.8.Гл ГОСТ Р ИСО 4014-2013;4.70648816;0.0;4.70648816;0.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;0;0.0;0;5.0;Мачта   прожекторная Н=21м Опросный лист 8672-Р8.2-8.1-ЭМ.ОЛ;К производству;921180-1;0;1;0;0.0;4.70648816;0.0;0.0;0.0
625;921180;1;2019-12-08;00-00000826;Болт М30-6gх130.8.8.Гл ГОСТ Р ИСО 4014-2013;159.04222451;0.0;159.04222451;0.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;0;0.0;0;5.0;Мачта   прожекторная Н=21м Опросный лист 8672-Р8.2-8.1-ЭМ.ОЛ;К производству;921180-1;0;1;0;0.0;159.04222451;0.0;0.0;0.0
626;921180;1;2019-12-08;00-00000827;Болт М6-6gх20.8.8.Гл ГОСТ Р ИСО 4014-2013;0.34183673;0.0;0.34183673;0.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;0;0.0;0;5.0;Мачта   прожекторная Н=21м Опросный лист 8672-Р8.2-8.1-ЭМ.ОЛ;К производству;921180-1;0;1;0;0.0;0.34183673;0.0;0.0;0.0
627;921180;1;2019-12-08;00-00000828;Болт М8-6gх30.8.8.Гл ГОСТ Р ИСО 4014-2013;0.5255102;0.0;0.5255102;0.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;0;0.0;0;5.0;Мачта   прожекторная Н=21м Опросный лист 8672-Р8.2-8.1-ЭМ.ОЛ;К производству;921180-1;0;1;0;0.0;0.5255102;0.0;0.0;0.0
628;921180;1;2019-12-08;00-00000829;Болт М8-6gх65.8.8.Гл ГОСТ Р ИСО 4014-2013;0.63265306;0.0;0.63265306;0.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;0;0.0;0;5.0;Мачта   прожекторная Н=21м Опросный лист 8672-Р8.2-8.1-ЭМ.ОЛ;К производству;921180-1;0;1;0;0.0;0.63265306;0.0;0.0;0.0
629;921180;1;2019-12-08;00-00000830;Гайка М10-6h.8.Гл ГОСТ ISO 4032-2014;0.94747683;0.0;0.94747683;0.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;0;0.0;0;5.0;Мачта   прожекторная Н=21м Опросный лист 8672-Р8.2-8.1-ЭМ.ОЛ;К производству;921180-1;0;1;0;0.0;0.94747683;0.0;0.0;0.0
