Поряд_номер;Номер победы;Партия;Дата запуска;Код;Номенклатура;Количество в заказе;Перемещено;Дефицит;Заказ обеспечен;Пометка удаления;Заказчик;Спецификация;Дата начала факт;Приоритет;Дата поступления КМД;Количество штук;Изделие;Статус;Заказ-Партия;Нельзя_заменять;Закуп подтвержден;Возможный заказ;Некомплектная_отгрузка;Полная_отгрузка;ТН;Списание из Цент склада;Списание из ТН;Списание из Поступлений;Остаток дефицита
5675;90254;1;2020-01-01;00000000359;Гайка М16-6h.5.Гл ГОСТ 5915-70;147.18640577;0.0;147.18640577;0.0;0.0;0;0;0;0.0;0;1.0;Упаковка январь (1шт);К производству;90254-1;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;147.18640577
5676;90254;1;2020-01-01;00-00001932;Шпилька по чертежу 16х1000.ст3.ГЦ Ст-2019-06;750.5;0.0;750.5;0.0;0.0;0;0;0;0.0;0;1.0;Упаковка январь (1шт);К производству;90254-1;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;750.5
1846;921639;1;2020-01-03;00000000549;Гайка М30-6h.8.Гл ГОСТ 5915-70;15.98558187;0.0;0.0;0.0;0.0;МЕССОЯХАНЕФТЕГАЗ АО;ДП_50630_30915_19090, Спецификация №  86(1167) от 02.12.2019;0;0.0;0;2.0;"Опора анкерная (концевая) АО10Г-1УМ Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001 ; Установка разъединителя";К производству;921639-1;0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
1847;921639;1;2020-01-03;00000000404;Шайба 12 Гл ГОСТ 11371-78;0.25746653;0.0;0.0;0.0;0.0;МЕССОЯХАНЕФТЕГАЗ АО;ДП_50630_30915_19090, Спецификация №  86(1167) от 02.12.2019;0;0.0;0;2.0;"Опора анкерная (концевая) АО10Г-1УМ Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001 ; Установка разъединителя";К производству;921639-1;0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
1848;921639;1;2020-01-03;00000000414;Шайба 12 Гл ГОСТ 6402-70;0.07209063;0.0;0.0;0.0;0.0;МЕССОЯХАНЕФТЕГАЗ АО;ДП_50630_30915_19090, Спецификация №  86(1167) от 02.12.2019;0;0.0;0;2.0;"Опора анкерная (концевая) АО10Г-1УМ Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001 ; Установка разъединителя";К производству;921639-1;0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
1849;921639;1;2020-01-03;00000000659;Шайба 20 Гл ГОСТ 11371-78;0.14212152;0.0;0.0;0.0;0.0;МЕССОЯХАНЕФТЕГАЗ АО;ДП_50630_30915_19090, Спецификация №  86(1167) от 02.12.2019;0;0.0;0;2.0;"Опора анкерная (концевая) АО10Г-1УМ Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001 ; Установка разъединителя";К производству;921639-1;0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
1850;921639;1;2020-01-03;00000000030;Шайба 20 Гл ГОСТ 6402-70;0.10504634;0.0;0.0;0.0;0.0;МЕССОЯХАНЕФТЕГАЗ АО;ДП_50630_30915_19090, Спецификация №  86(1167) от 02.12.2019;0;0.0;0;2.0;"Опора анкерная (концевая) АО10Г-1УМ Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001 ; Установка разъединителя";К производству;921639-1;0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
1851;921639;1;2020-01-03;00000006907;Шайба 30 Гл ГОСТ 11371-78;3.53450051;0.0;0.0;0.0;0.0;МЕССОЯХАНЕФТЕГАЗ АО;ДП_50630_30915_19090, Спецификация №  86(1167) от 02.12.2019;0;0.0;0;2.0;"Опора анкерная (концевая) АО10Г-1УМ Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001 ; Установка разъединителя";К производству;921639-1;0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
1852;921639;1;2020-01-03;00-00000886;Хомут по чертежу Х90-1 12.09Г2С-15.Гл ГОСТ К-ТП.10-110-00.07;2.4;0.0;0.0;0.0;0.0;МЕССОЯХАНЕФТЕГАЗ АО;ДП_50630_30915_19090, Спецификация №  86(1167) от 02.12.2019;0;0.0;0;2.0;"Опора анкерная (концевая) АО10Г-1УМ Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001 ; Установка разъединителя";К производству;921639-1;0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
1910;921644;1;2020-01-03;00000001665;Болт М12-6gх35.8.8.Гл ГОСТ 7798-70;0.04591837;0.0;0.0;0.0;0.0;МЕССОЯХАНЕФТЕГАЗ АО;ДП_50630_30915_19090, Спецификация №  86(1167) от 02.12.2019;0;0.0;0;1.0;"Опора анкерная (концевая) АО10Г-1УМ Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001 ; Установка разъединителя";К производству;921644-1;0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
