Поряд_номер;Номер победы;Партия;Дата запуска;Код;Номенклатура;Количество в заказе;Перемещено;Дефицит;Заказ обеспечен;Пометка удаления;Заказчик;Спецификация;Дата начала факт;Приоритет;Дата поступления КМД;Количество штук;Изделие;Статус;Изделие.Вид номенклатуры;Заказ-Партия;Нельзя_заменять;Закуп подтвержден;Возможный заказ;Некомплектная_отгрузка;Полная_отгрузка;ТН;Списание из Цент склада;Списание из ТН;Списание из Поступлений;Остаток дефицита
703;02957;1;2020-12-31;00000002419;Шайба 16 ГЦ ГОСТ 11371-78;1.58393409;1.538;0.0;0.0;0.0;СУРГУТНЕФТЕГАЗ ПАО;Договор № 2697/У от 26.06.2020, Спецификация №1 от 26.06.2020;2020-06-15 00:00:00;0.0;2020-06-10 00:00:00;2.0;Тросостойка Р8 Проект: 5736тм;Закрыт;Продукция;02957-1;0;1.0;0.0;0;1.0;0.0;0.0;0.0;0.0;0.0
704;02957;1;2020-12-31;00000002423;Шайба 16 ГЦ ГОСТ 6402-70;0.85272915;0.828;0.0;0.0;0.0;СУРГУТНЕФТЕГАЗ ПАО;Договор № 2697/У от 26.06.2020, Спецификация №1 от 26.06.2020;2020-06-15 00:00:00;0.0;2020-06-10 00:00:00;2.0;Тросостойка Р8 Проект: 5736тм;Закрыт;Продукция;02957-1;0;1.0;0.0;0;1.0;0.0;0.0;0.0;0.0;0.0
705;02957;1;2020-12-31;00-00007108;Болт М16-6gх50.5.6.ГЦ ГОСТ Р ИСО 4014-2013;10.20204082;9.998;0.0;0.0;0.0;СУРГУТНЕФТЕГАЗ ПАО;Договор № 2697/У от 26.06.2020, Спецификация №1 от 26.06.2020;2020-06-15 00:00:00;0.0;2020-06-10 00:00:00;2.0;Тросостойка Р8 Проект: 5736тм;Закрыт;Продукция;02957-1;0;0.0;0.0;0;1.0;0.0;0.0;0.0;0.0;0.0
706;02957;1;2020-12-31;00-00007109;Болт М16-6gх55.5.6.ГЦ ГОСТ Р ИСО 4014-2013;5.95102041;5.832;0.0;0.0;0.0;СУРГУТНЕФТЕГАЗ ПАО;Договор № 2697/У от 26.06.2020, Спецификация №1 от 26.06.2020;2020-06-15 00:00:00;0.0;2020-06-10 00:00:00;2.0;Тросостойка Р8 Проект: 5736тм;Закрыт;Продукция;02957-1;0;0.0;0.0;0;1.0;0.0;0.0;0.0;0.0;0.0
707;02957;1;2020-12-31;00-00007114;Гайка М16-6h.5.ГЦ ГОСТ ISO 4032-2014;5.26879506;5.116;0.0;0.0;0.0;СУРГУТНЕФТЕГАЗ ПАО;Договор № 2697/У от 26.06.2020, Спецификация №1 от 26.06.2020;2020-06-15 00:00:00;0.0;2020-06-10 00:00:00;2.0;Тросостойка Р8 Проект: 5736тм;Закрыт;Продукция;02957-1;0;1.0;0.0;0;1.0;0.0;0.0;0.0;0.0;0.0
216;02756;29;2020-08-30;00000000659;Шайба 20 Гл ГОСТ 11371-78;1.13697219;1.104;0.03297218999999996;0.0;0.0;ЮВЭС ООО;ЮВЭС/05-01 от 14.05.2020, Спецификация №1 от 14.05.2020;2020-08-30 00:00:00;0.0;2020-05-20 00:00:00;16.0;Фундамент   ФСП1 Проект: 01-893-ТКР;К производству;Продукция;02756-29;0;1.0;0.0;0;0.0;0.0;0.03297218999999996;0.0;0.0;0.0
219;02764;1;2020-08-30;00000000659;Шайба 20 Гл ГОСТ 11371-78;0.57672503;0.0;0.0;0.0;0.0;ЮВЭС ООО;ЮВЭС/05-01 от 14.05.2020, Спецификация №1 от 14.05.2020;2020-08-30 00:00:00;0.0;2020-08-21 00:00:00;16.0;Фундамент   ФП1 Проект: 01-893-ТКР;К производству;Продукция;02764-1;0;1.0;0.0;0;1.0;0.0;0.0;0.0;0.0;0.0
222;02766;1;2020-08-30;00000000659;Шайба 20 Гл ГОСТ 11371-78;0.5046344;0.0;0.0;0.0;0.0;ЮВЭС ООО;ЮВЭС/05-01 от 14.05.2020, Спецификация №1 от 14.05.2020;2020-08-30 00:00:00;0.0;2020-08-25 00:00:00;14.0;Фундамент   ФП1б Проект: 01-893-ТКР;К производству;Продукция;02766-1;0;1.0;0.0;0;1.0;0.0;0.0;0.0;0.0;0.0
896;021192;1;2020-08-31;00000006780;Шайба 16 ТД4 ГОСТ 11371-78;4.27188465;4.148;0.0;0.0;0.0;ПЦ СИБИРИ ООО;Договор № 64/08-19 от 28.08.2019, Спецификация №4 от 15.07.2020;2020-08-31 00:00:00;0.0;2020-08-27 00:00:00;1.0;Анкерно-угловая опора   1У220-4у+15 Проект: 3.407.2-145 Проект: 18-54-01.1-302-КС;К производству;Продукция;021192-1;0;1.0;0.0;0;1.0;0.0;0.0;0.0;0.0;0.0
897;021192;1;2020-08-31;00000006781;Шайба 16 ТД4 ГОСТ 6402-70;2.29866117;2.232;0.0;0.0;0.0;ПЦ СИБИРИ ООО;Договор № 64/08-19 от 28.08.2019, Спецификация №4 от 15.07.2020;2020-08-31 00:00:00;0.0;2020-08-27 00:00:00;1.0;Анкерно-угловая опора   1У220-4у+15 Проект: 3.407.2-145 Проект: 18-54-01.1-302-КС;К производству;Продукция;021192-1;0;1.0;0.0;0;1.0;0.0;0.0;0.0;0.0;0.0
898;021192;1;2020-08-31;00000006784;Шайба 20 ТД4 ГОСТ 6402-70;9.21421215;8.947;0.0;0.0;0.0;ПЦ СИБИРИ ООО;Договор № 64/08-19 от 28.08.2019, Спецификация №4 от 15.07.2020;2020-08-31 00:00:00;0.0;2020-08-27 00:00:00;1.0;Анкерно-угловая опора   1У220-4у+15 Проект: 3.407.2-145 Проект: 18-54-01.1-302-КС;К производству;Продукция;021192-1;0;1.0;0.0;0;1.0;0.0;0.0;0.0;0.0;0.0
899;021192;1;2020-08-31;00000009303;Шайба 24 ТД4 ГОСТ 11371-78;31.42224511;30.511;0.0;0.0;0.0;ПЦ СИБИРИ ООО;Договор № 64/08-19 от 28.08.2019, Спецификация №4 от 15.07.2020;2020-08-31 00:00:00;0.0;2020-08-27 00:00:00;1.0;Анкерно-угловая опора   1У220-4у+15 Проект: 3.407.2-145 Проект: 18-54-01.1-302-КС;К производству;Продукция;021192-1;0;1.0;0.0;0;1.0;0.0;0.0;0.0;0.0;0.0
900;021192;1;2020-08-31;00-00000394;Пробойник_СП-12,5;0.2;0.0;0.0;0.0;0.0;ПЦ СИБИРИ ООО;Договор № 64/08-19 от 28.08.2019, Спецификация №4 от 15.07.2020;2020-08-31 00:00:00;0.0;2020-08-27 00:00:00;1.0;Анкерно-угловая опора   1У220-4у+15 Проект: 3.407.2-145 Проект: 18-54-01.1-302-КС;К производству;Продукция;021192-1;0;1.0;0.0;0;1.0;0.0;0.0;0.0;0.0;0.0
901;021192;1;2020-08-31;00-00000399;Пробойник_СП-17;0.37;0.0;0.0;0.0;0.0;ПЦ СИБИРИ ООО;Договор № 64/08-19 от 28.08.2019, Спецификация №4 от 15.07.2020;2020-08-31 00:00:00;0.0;2020-08-27 00:00:00;1.0;Анкерно-угловая опора   1У220-4у+15 Проект: 3.407.2-145 Проект: 18-54-01.1-302-КС;К производству;Продукция;021192-1;0;1.0;0.0;0;1.0;0.0;0.0;0.0;0.0;0.0
902;021192;1;2020-08-31;00-00000401;Пробойник_СП-21;0.576;0.0;0.0;0.0;0.0;ПЦ СИБИРИ ООО;Договор № 64/08-19 от 28.08.2019, Спецификация №4 от 15.07.2020;2020-08-31 00:00:00;0.0;2020-08-27 00:00:00;1.0;Анкерно-угловая опора   1У220-4у+15 Проект: 3.407.2-145 Проект: 18-54-01.1-302-КС;К производству;Продукция;021192-1;0;1.0;0.0;0;1.0;0.0;0.0;0.0;0.0;0.0
903;021192;1;2020-08-31;00-00000404;Пробойник_СП-25;0.828;0.0;0.0;0.0;0.0;ПЦ СИБИРИ ООО;Договор № 64/08-19 от 28.08.2019, Спецификация №4 от 15.07.2020;2020-08-31 00:00:00;0.0;2020-08-27 00:00:00;1.0;Анкерно-угловая опора   1У220-4у+15 Проект: 3.407.2-145 Проект: 18-54-01.1-302-КС;К производству;Продукция;021192-1;0;1.0;0.0;0;1.0;0.0;0.0;0.0;0.0;0.0
904;021192;1;2020-08-31;00-00000406;Пробойник_СП-28;1.064;0.0;0.0;0.0;0.0;ПЦ СИБИРИ ООО;Договор № 64/08-19 от 28.08.2019, Спецификация №4 от 15.07.2020;2020-08-31 00:00:00;0.0;2020-08-27 00:00:00;1.0;Анкерно-угловая опора   1У220-4у+15 Проект: 3.407.2-145 Проект: 18-54-01.1-302-КС;К производству;Продукция;021192-1;0;1.0;0.0;0;1.0;0.0;0.0;0.0;0.0;0.0
905;021192;1;2020-08-31;00-00002228;Болт М20-6gх65.8.8.ТД4 ГОСТ Р ИСО 4014-2013;31.28527291;30.378;0.0;0.0;0.0;ПЦ СИБИРИ ООО;Договор № 64/08-19 от 28.08.2019, Спецификация №4 от 15.07.2020;2020-08-31 00:00:00;0.0;2020-08-27 00:00:00;1.0;Анкерно-угловая опора   1У220-4у+15 Проект: 3.407.2-145 Проект: 18-54-01.1-302-КС;К производству;Продукция;021192-1;0;1.0;0.0;0;1.0;0.0;0.0;0.0;0.0;0.0
906;021192;1;2020-08-31;00-00002231;Гайка М20-6h.8.ТД4 ГОСТ ISO 4032-2014;30.23892894;29.362;0.0;0.0;0.0;ПЦ СИБИРИ ООО;Договор № 64/08-19 от 28.08.2019, Спецификация №4 от 15.07.2020;2020-08-31 00:00:00;0.0;2020-08-27 00:00:00;1.0;Анкерно-угловая опора   1У220-4у+15 Проект: 3.407.2-145 Проект: 18-54-01.1-302-КС;К производству;Продукция;021192-1;0;1.0;0.0;0;1.0;0.0;0.0;0.0;0.0;0.0
907;021192;1;2020-08-31;00-00002233;Шайба 12 ТД4 ГОСТ 11371-78;0.07826982;0.0;0.0;0.0;0.0;ПЦ СИБИРИ ООО;Договор № 64/08-19 от 28.08.2019, Спецификация №4 от 15.07.2020;2020-08-31 00:00:00;0.0;2020-08-27 00:00:00;1.0;Анкерно-угловая опора   1У220-4у+15 Проект: 3.407.2-145 Проект: 18-54-01.1-302-КС;К производству;Продукция;021192-1;0;1.0;0.0;0;1.0;0.0;0.0;0.0;0.0;0.0
