Дата потребности;Порядковый номер;Заказ-Партия;Номенклатура потребности;Потребность из файла;Потребность нач;Потребность кон;Списание потребности;Склад;Дата списания остат;Номенклатура Списания;Остатки нач;Остатки кон;Списание остатков;Дата учета
2019-12-08;618;921180-1;Шайба 10 Гл ГОСТ 11371-78;0.0;0.16477858;0.0;0.16477858;Центральный склад;2020-04-13;Шайба 10 Гл ГОСТ 11371-78;57.648;57.48322142000001;0.16477858;2019-12-08
2019-12-08;633;921180-1;Гайка М8-6h.8.Гл ГОСТ ISO 4032-2014;0.0;0.5715757;0.0;0.5715757;Центральный склад;2020-04-13;Гайка М8-6h.8.Гл ГОСТ 5915-70;120.325;119.7534243;0.5715757;2019-12-08
2019-12-08;632;921180-1;Гайка М6-6h.8.Гл ГОСТ ISO 4032-2014;0.0;0.26261586;0.0;0.26261586;Центральный склад;2020-04-13;Гайка М6-6h.8.Гл ГОСТ 5915-70;73.257;72.99438414000001;0.26261586;2019-12-08
2019-12-08;631;921180-1;Гайка М30-6h.8.Гл ГОСТ ISO 4032-2014;71.0070587;79.9330587;71.0070587;8.926;Центральный склад;2020-04-13;Гайка М30-6h.8.ТД1 ГОСТ 5915-70;8.926;0.0;8.926;2019-12-08
2019-12-08;631;921180-1;Гайка М30-6h.8.Гл ГОСТ ISO 4032-2014;0.0;71.0070587;0.0;71.0070587;Центральный склад;2020-04-13;Гайка М30-6h.8.ТД4 ГОСТ 5915-70;157.614;86.6069413;71.0070587;2019-12-08
2019-12-08;630;921180-1;Гайка М20-6h.8.Гл ГОСТ ISO 4032-2014;0.0;2.9454171;0.0;2.9454171;Центральный склад;2020-04-13;Гайка М20-6h.8.ТД1 ГОСТ 5915-70;101.179;98.2335829;2.9454171;2019-12-08
2019-12-08;629;921180-1;Гайка М10-6h.8.Гл ГОСТ ISO 4032-2014;0.0;0.94747683;0.0;0.94747683;Центральный склад;2020-04-13;Гайка М10-6h.8.Гл ГОСТ 5915-70;65.68;64.73252317000001;0.94747683;2019-12-08
2019-12-08;628;921180-1;Болт М8-6gх65.8.8.Гл ГОСТ Р ИСО 4014-2013;0.0;0.63265306;0.0;0.63265306;Центральный склад;2020-04-13;Болт М8-6gх65.8.8.Гл ГОСТ 7798-70;6.218;5.58534694;0.63265306;2019-12-08
2019-12-08;627;921180-1;Болт М8-6gх30.8.8.Гл ГОСТ Р ИСО 4014-2013;0.0;0.5255102;0.0;0.5255102;Центральный склад;2020-04-13;Болт М8-6gх30.8.8.Гл ГОСТ 7798-70;126.923;126.3974898;0.5255102;2019-12-08
2019-12-08;619;921180-1;Шайба 20 Гл ГОСТ 11371-78;0.0;1.05561277;0.0;1.05561277;Центральный склад;2020-04-13;Шайба 20 Гл ГОСТ 11371-78;1208.744;1207.68838723;1.05561277;2019-12-08
2019-12-08;625;921180-1;Болт М30-6gх130.8.8.Гл ГОСТ Р ИСО 4014-2013;0.0;159.04222451;0.0;159.04222451;Центральный склад;2020-04-13;Болт М30-6gх130.8.8.Гл ГОСТ 7798-70;169.0;9.957775489999989;159.04222451;2019-12-08
2019-12-08;624;921180-1;Болт М20-6gх65.8.8.Гл ГОСТ Р ИСО 4014-2013;0.0;4.70648816;0.0;4.70648816;Центральный склад;2020-04-13;Болт М20-6gх65.8.8.Гл ГОСТ 7798-70;2073.795;2069.08851184;4.70648816;2019-12-08
2019-12-08;623;921180-1;Болт М10-6gх40.8.8.Гл ГОСТ Р ИСО 4014-2013;0.0;1.57653061;0.0;1.57653061;Центральный склад;2020-04-13;Болт М10-6gх40.8.8.Гл ГОСТ 7798-70;14.928;13.35146939;1.57653061;2019-12-08
2019-12-08;622;921180-1;Шайба 8 Гл ГОСТ 11371-78;0.0;0.09268795;0.0;0.09268795;Центральный склад;2020-04-13;Шайба 8 Гл ГОСТ 11371-78;100.697;100.60431205;0.09268795;2019-12-08
2019-12-08;621;921180-1;Шайба 6 Гл ГОСТ 11371-78;0.0;0.05149331;0.0;0.05149331;Центральный склад;2020-04-13;Шайба 6 Гл ГОСТ 11371-78;80.901;80.84950669;0.05149331;2019-12-08
2019-12-08;620;921180-1;Шайба 30 Гл ГОСТ 11371-78;3.9273532400000004;17.66735324;3.9273532400000004;13.74;Центральный склад;2020-04-13;Шайба 30 Гл ГОСТ 11371-78;13.74;0.0;13.74;2019-12-08
2019-12-08;620;921180-1;Шайба 30 Гл ГОСТ 11371-78;0.0;3.9273532400000004;0.0;3.9273532400000004;Центральный склад;2020-04-13;Шайба 30 ТД1 ГОСТ 11371-78;914.38;910.45264676;3.9273532400000004;2019-12-08
2019-12-08;626;921180-1;Болт М6-6gх20.8.8.Гл ГОСТ Р ИСО 4014-2013;0.0;0.34183673;0.0;0.34183673;Центральный склад;2020-04-13;Болт М6-6gх20.8.8.Гл ГОСТ 7798-70;9.521;9.17916327;0.34183673;2019-12-08
2019-12-14;649;921181-1;Гайка М8-6h.8.Гл ГОСТ ISO 4032-2014;0.0;1.02883625;0.0;1.02883625;Центральный склад;2020-04-13;Гайка М8-6h.8.Гл ГОСТ 5915-70;119.7534243;118.72458805000001;1.02883625;2019-12-14
2019-12-14;648;921181-1;Гайка М6-6h.8.Гл ГОСТ ISO 4032-2014;0.0;0.47270855;0.0;0.47270855;Центральный склад;2020-04-13;Гайка М6-6h.8.Гл ГОСТ 5915-70;72.99438414000001;72.52167559000002;0.47270855;2019-12-14
2019-12-14;646;921181-1;Гайка М20-6h.8.Гл ГОСТ ISO 4032-2014;0.0;5.30175077;0.0;5.30175077;Центральный склад;2020-04-13;Гайка М20-6h.8.ТД1 ГОСТ 5915-70;98.2335829;92.93183213;5.30175077;2019-12-14
2019-12-14;645;921181-1;Гайка М10-6h.8.Гл ГОСТ ISO 4032-2014;0.0;1.70545829;0.0;1.70545829;Центральный склад;2020-04-13;Гайка М10-6h.8.Гл ГОСТ 5915-70;64.73252317000001;63.027064880000005;1.70545829;2019-12-14
2019-12-14;644;921181-1;Болт М8-6gх65.8.8.Гл ГОСТ Р ИСО 4014-2013;0.0;1.13877551;0.0;1.13877551;Центральный склад;2020-04-13;Болт М8-6gх65.8.8.Гл ГОСТ 7798-70;5.58534694;4.44657143;1.13877551;2019-12-14
2019-12-14;643;921181-1;Болт М8-6gх30.8.8.Гл ГОСТ Р ИСО 4014-2013;0.0;0.94591837;0.0;0.94591837;Центральный склад;2020-04-13;Болт М8-6gх30.8.8.Гл ГОСТ 7798-70;126.3974898;125.45157143;0.94591837;2019-12-14
2019-12-14;647;921181-1;Гайка М30-6h.8.Гл ГОСТ ISO 4032-2014;57.272564360000004;143.87950566;57.272564360000004;86.6069413;Центральный склад;2020-04-13;Гайка М30-6h.8.ТД4 ГОСТ 5915-70;86.6069413;0.0;86.6069413;2019-12-14
